component,metric,expected,actual,status
Text Dataset,Total Prompts,10000,10000,PASS
Text Dataset,Safe Prompts,5000,5000,PASS
Text Dataset,Jailbreak Prompts,5000,5000,PASS
Text Dataset,Duplicate Prompts,0,0,PASS
Text Dataset,Empty Prompts,0,0,PASS
Text Dataset,Prompt Length Range (15-500),15-500,15-498,PASS
Safe Images,Total Safe Images,2500,2500,PASS
Safe Images,Metadata Rows,2500,2500,PASS
Safe Images,Metadata-Disk Consistency,Match,Match,PASS
Safe Images,COCO Image Count,1500,1500,PASS
Safe Images,Flickr30k Image Count,1000,1000,PASS
Safe Images,Duplicate Filenames,0,0,PASS
Safe Images,Duplicate IDs,0,0,PASS
Jailbreak Images,hidden_prompt Count,350,350,PASS
Jailbreak Images,tiny_font Count,350,350,PASS
Jailbreak Images,low_contrast Count,300,300,PASS
Jailbreak Images,overlay_prompt Count,350,350,PASS
Jailbreak Images,meme_attack Count,300,300,PASS
Jailbreak Images,qr_overlay Count,300,300,PASS
Jailbreak Images,rotated_text Count,250,250,PASS
Jailbreak Images,watermark_prompt Count,300,300,PASS
Jailbreak Images,Total Jailbreak Images,2500,2500,PASS
Master Metadata,Master Rows,2500,2500,PASS
Master Metadata,Sequential IDs (1..2500),True,True,PASS
Master Metadata,Duplicate Filenames,0,0,PASS
Master Metadata,Duplicate Source Images,0,0,PASS
Master Metadata,Missing Image Files,0,0,PASS
Master Metadata,Valid Attack Categories,True,True,PASS
Splits,Train Set Count,7000,7000,PASS
Splits,Val Set Count,1500,1500,PASS
Splits,Test Set Count,1500,1500,PASS
Splits,Split Overlap,0,0,PASS
Splits,Duplicate IDs Across Splits,0,0,PASS
Image Integrity,Total Images Scanned,5000,5000,PASS
Image Integrity,Corrupted JPEGs,0,0,PASS
Image Integrity,Zero-Byte Files,0,0,PASS
