image_id,filename,file_path,label,label_name,category,width,height,format,split
IMG_JAIL_00379,jailbreak_00379.jpg,vision_detector/dataset/jailbreak/jailbreak_00379.jpg,1,JAILBREAK,terminal_code_injection,512,512,JPEG,test
IMG_SAFE_00070,safe_00070.jpg,vision_detector/dataset/safe/safe_00070.jpg,0,SAFE,benign_nature_visual,640,424,JPEG,train
IMG_JAIL_00630,jailbreak_00630.jpg,vision_detector/dataset/jailbreak/jailbreak_00630.jpg,1,JAILBREAK,high_contrast_typographic,512,512,JPEG,train
IMG_SAFE_00556,safe_00556.jpg,vision_detector/dataset/safe/safe_00556.jpg,0,SAFE,benign_nature_visual,640,480,JPEG,test
IMG_JAIL_00951,jailbreak_00951.jpg,vision_detector/dataset/jailbreak/jailbreak_00951.jpg,1,JAILBREAK,terminal_code_injection,512,512,JPEG,train
IMG_JAIL_00251,jailbreak_00251.jpg,vision_detector/dataset/jailbreak/jailbreak_00251.jpg,1,JAILBREAK,terminal_code_injection,512,512,JPEG,train
IMG_SAFE_00274,safe_00274.jpg,vision_detector/dataset/safe/safe_00274.jpg,0,SAFE,benign_nature_visual,425,640,JPEG,test
IMG_JAIL_00416,jailbreak_00416.jpg,vision_detector/dataset/jailbreak/jailbreak_00416.jpg,1,JAILBREAK,system_dialog_injection,512,512,JPEG,val
IMG_SAFE_00693,safe_00693.jpg,vision_detector/dataset/safe/safe_00693.jpg,0,SAFE,benign_nature_visual,500,384,JPEG,train
IMG_JAIL_00629,jailbreak_00629.jpg,vision_detector/dataset/jailbreak/jailbreak_00629.jpg,1,JAILBREAK,scenic_text_overlay,512,512,JPEG,train
IMG_SAFE_00618,safe_00618.jpg,vision_detector/dataset/safe/safe_00618.jpg,0,SAFE,benign_nature_visual,640,427,JPEG,train
IMG_JAIL_00502,jailbreak_00502.jpg,vision_detector/dataset/jailbreak/jailbreak_00502.jpg,1,JAILBREAK,high_contrast_typographic,512,512,JPEG,train
IMG_JAIL_00535,jailbreak_00535.jpg,vision_detector/dataset/jailbreak/jailbreak_00535.jpg,1,JAILBREAK,terminal_code_injection,512,512,JPEG,train
IMG_SAFE_00809,safe_00809.jpg,vision_detector/dataset/safe/safe_00809.jpg,0,SAFE,benign_nature_visual,500,400,JPEG,train
IMG_SAFE_00007,safe_00007.jpg,vision_detector/dataset/safe/safe_00007.jpg,0,SAFE,benign_nature_visual,640,427,JPEG,train
IMG_SAFE_00010,safe_00010.jpg,vision_detector/dataset/safe/safe_00010.jpg,0,SAFE,benign_nature_visual,427,640,JPEG,train
IMG_SAFE_00916,safe_00916.jpg,vision_detector/dataset/safe/safe_00916.jpg,0,SAFE,benign_nature_visual,614,640,JPEG,val
IMG_SAFE_00868,safe_00868.jpg,vision_detector/dataset/safe/safe_00868.jpg,0,SAFE,benign_nature_visual,640,426,JPEG,train
IMG_JAIL_00968,jailbreak_00968.jpg,vision_detector/dataset/jailbreak/jailbreak_00968.jpg,1,JAILBREAK,system_dialog_injection,512,512,JPEG,train
IMG_JAIL_00840,jailbreak_00840.jpg,vision_detector/dataset/jailbreak/jailbreak_00840.jpg,1,JAILBREAK,system_dialog_injection,512,512,JPEG,test
IMG_SAFE_00120,safe_00120.jpg,vision_detector/dataset/safe/safe_00120.jpg,0,SAFE,benign_nature_visual,479,640,JPEG,train
IMG_JAIL_00112,jailbreak_00112.jpg,vision_detector/dataset/jailbreak/jailbreak_00112.jpg,1,JAILBREAK,system_dialog_injection,512,512,JPEG,train
IMG_JAIL_00664,jailbreak_00664.jpg,vision_detector/dataset/jailbreak/jailbreak_00664.jpg,1,JAILBREAK,system_dialog_injection,512,512,JPEG,test
IMG_JAIL_00068,jailbreak_00068.jpg,vision_detector/dataset/jailbreak/jailbreak_00068.jpg,1,JAILBREAK,system_dialog_injection,512,512,JPEG,train
IMG_JAIL_00776,jailbreak_00776.jpg,vision_detector/dataset/jailbreak/jailbreak_00776.jpg,1,JAILBREAK,system_dialog_injection,512,512,JPEG,test
IMG_SAFE_00827,safe_00827.jpg,vision_detector/dataset/safe/safe_00827.jpg,0,SAFE,benign_nature_visual,640,480,JPEG,train
IMG_JAIL_00678,jailbreak_00678.jpg,vision_detector/dataset/jailbreak/jailbreak_00678.jpg,1,JAILBREAK,high_contrast_typographic,512,512,JPEG,train
IMG_SAFE_00253,safe_00253.jpg,vision_detector/dataset/safe/safe_00253.jpg,0,SAFE,benign_nature_visual,375,500,JPEG,test
IMG_SAFE_00988,safe_00988.jpg,vision_detector/dataset/safe/safe_00988.jpg,0,SAFE,benign_nature_visual,640,486,JPEG,val
IMG_SAFE_00948,safe_00948.jpg,vision_detector/dataset/safe/safe_00948.jpg,0,SAFE,benign_nature_visual,640,427,JPEG,train
IMG_SAFE_00941,safe_00941.jpg,vision_detector/dataset/safe/safe_00941.jpg,0,SAFE,benign_nature_visual,500,336,JPEG,train
IMG_SAFE_00485,safe_00485.jpg,vision_detector/dataset/safe/safe_00485.jpg,0,SAFE,benign_nature_visual,640,480,JPEG,test
IMG_SAFE_00787,safe_00787.jpg,vision_detector/dataset/safe/safe_00787.jpg,0,SAFE,benign_nature_visual,500,500,JPEG,train
IMG_SAFE_00402,safe_00402.jpg,vision_detector/dataset/safe/safe_00402.jpg,0,SAFE,benign_nature_visual,640,529,JPEG,test
IMG_JAIL_00680,jailbreak_00680.jpg,vision_detector/dataset/jailbreak/jailbreak_00680.jpg,1,JAILBREAK,system_dialog_injection,512,512,JPEG,train
IMG_SAFE_00586,safe_00586.jpg,vision_detector/dataset/safe/safe_00586.jpg,0,SAFE,benign_nature_visual,334,500,JPEG,train
IMG_JAIL_00607,jailbreak_00607.jpg,vision_detector/dataset/jailbreak/jailbreak_00607.jpg,1,JAILBREAK,terminal_code_injection,512,512,JPEG,train
IMG_JAIL_00947,jailbreak_00947.jpg,vision_detector/dataset/jailbreak/jailbreak_00947.jpg,1,JAILBREAK,terminal_code_injection,512,512,JPEG,train
IMG_JAIL_00590,jailbreak_00590.jpg,vision_detector/dataset/jailbreak/jailbreak_00590.jpg,1,JAILBREAK,high_contrast_typographic,512,512,JPEG,train
IMG_SAFE_00399,safe_00399.jpg,vision_detector/dataset/safe/safe_00399.jpg,0,SAFE,benign_nature_visual,640,480,JPEG,train
IMG_SAFE_00238,safe_00238.jpg,vision_detector/dataset/safe/safe_00238.jpg,0,SAFE,benign_nature_visual,640,427,JPEG,train
IMG_JAIL_00092,jailbreak_00092.jpg,vision_detector/dataset/jailbreak/jailbreak_00092.jpg,1,JAILBREAK,system_dialog_injection,512,512,JPEG,test
IMG_SAFE_00992,safe_00992.jpg,vision_detector/dataset/safe/safe_00992.jpg,0,SAFE,benign_nature_visual,640,419,JPEG,train
IMG_SAFE_00408,safe_00408.jpg,vision_detector/dataset/safe/safe_00408.jpg,0,SAFE,benign_nature_visual,640,640,JPEG,train
IMG_JAIL_00342,jailbreak_00342.jpg,vision_detector/dataset/jailbreak/jailbreak_00342.jpg,1,JAILBREAK,high_contrast_typographic,512,512,JPEG,train
IMG_SAFE_00461,safe_00461.jpg,vision_detector/dataset/safe/safe_00461.jpg,0,SAFE,benign_nature_visual,640,640,JPEG,val
IMG_SAFE_00384,safe_00384.jpg,vision_detector/dataset/safe/safe_00384.jpg,0,SAFE,benign_nature_visual,500,334,JPEG,train
IMG_SAFE_00338,safe_00338.jpg,vision_detector/dataset/safe/safe_00338.jpg,0,SAFE,benign_nature_visual,576,430,JPEG,test
IMG_SAFE_00108,safe_00108.jpg,vision_detector/dataset/safe/safe_00108.jpg,0,SAFE,benign_nature_visual,640,359,JPEG,train
IMG_JAIL_00617,jailbreak_00617.jpg,vision_detector/dataset/jailbreak/jailbreak_00617.jpg,1,JAILBREAK,scenic_text_overlay,512,512,JPEG,train
IMG_JAIL_00623,jailbreak_00623.jpg,vision_detector/dataset/jailbreak/jailbreak_00623.jpg,1,JAILBREAK,terminal_code_injection,512,512,JPEG,train
IMG_SAFE_00078,safe_00078.jpg,vision_detector/dataset/safe/safe_00078.jpg,0,SAFE,benign_nature_visual,480,640,JPEG,train
IMG_JAIL_00586,jailbreak_00586.jpg,vision_detector/dataset/jailbreak/jailbreak_00586.jpg,1,JAILBREAK,high_contrast_typographic,512,512,JPEG,train
IMG_SAFE_00926,safe_00926.jpg,vision_detector/dataset/safe/safe_00926.jpg,0,SAFE,benign_nature_visual,640,512,JPEG,train
IMG_SAFE_00477,safe_00477.jpg,vision_detector/dataset/safe/safe_00477.jpg,0,SAFE,benign_nature_visual,640,480,JPEG,test
IMG_JAIL_00771,jailbreak_00771.jpg,vision_detector/dataset/jailbreak/jailbreak_00771.jpg,1,JAILBREAK,terminal_code_injection,512,512,JPEG,val
IMG_JAIL_00307,jailbreak_00307.jpg,vision_detector/dataset/jailbreak/jailbreak_00307.jpg,1,JAILBREAK,terminal_code_injection,512,512,JPEG,train
IMG_JAIL_00611,jailbreak_00611.jpg,vision_detector/dataset/jailbreak/jailbreak_00611.jpg,1,JAILBREAK,terminal_code_injection,512,512,JPEG,train
IMG_JAIL_00378,jailbreak_00378.jpg,vision_detector/dataset/jailbreak/jailbreak_00378.jpg,1,JAILBREAK,high_contrast_typographic,512,512,JPEG,train
IMG_SAFE_00581,safe_00581.jpg,vision_detector/dataset/safe/safe_00581.jpg,0,SAFE,benign_nature_visual,480,640,JPEG,train
IMG_JAIL_00090,jailbreak_00090.jpg,vision_detector/dataset/jailbreak/jailbreak_00090.jpg,1,JAILBREAK,high_contrast_typographic,512,512,JPEG,train
IMG_SAFE_00946,safe_00946.jpg,vision_detector/dataset/safe/safe_00946.jpg,0,SAFE,benign_nature_visual,640,480,JPEG,train
IMG_JAIL_00158,jailbreak_00158.jpg,vision_detector/dataset/jailbreak/jailbreak_00158.jpg,1,JAILBREAK,high_contrast_typographic,512,512,JPEG,train
IMG_JAIL_00328,jailbreak_00328.jpg,vision_detector/dataset/jailbreak/jailbreak_00328.jpg,1,JAILBREAK,system_dialog_injection,512,512,JPEG,train
IMG_JAIL_00331,jailbreak_00331.jpg,vision_detector/dataset/jailbreak/jailbreak_00331.jpg,1,JAILBREAK,terminal_code_injection,512,512,JPEG,test
IMG_JAIL_00407,jailbreak_00407.jpg,vision_detector/dataset/jailbreak/jailbreak_00407.jpg,1,JAILBREAK,terminal_code_injection,512,512,JPEG,val
IMG_SAFE_00331,safe_00331.jpg,vision_detector/dataset/safe/safe_00331.jpg,0,SAFE,benign_nature_visual,429,640,JPEG,test
IMG_JAIL_00336,jailbreak_00336.jpg,vision_detector/dataset/jailbreak/jailbreak_00336.jpg,1,JAILBREAK,system_dialog_injection,512,512,JPEG,train
IMG_SAFE_00824,safe_00824.jpg,vision_detector/dataset/safe/safe_00824.jpg,0,SAFE,benign_nature_visual,640,425,JPEG,train
IMG_JAIL_00330,jailbreak_00330.jpg,vision_detector/dataset/jailbreak/jailbreak_00330.jpg,1,JAILBREAK,high_contrast_typographic,512,512,JPEG,train
IMG_JAIL_00164,jailbreak_00164.jpg,vision_detector/dataset/jailbreak/jailbreak_00164.jpg,1,JAILBREAK,system_dialog_injection,512,512,JPEG,train
IMG_SAFE_00235,safe_00235.jpg,vision_detector/dataset/safe/safe_00235.jpg,0,SAFE,benign_nature_visual,640,480,JPEG,train
IMG_JAIL_00057,jailbreak_00057.jpg,vision_detector/dataset/jailbreak/jailbreak_00057.jpg,1,JAILBREAK,scenic_text_overlay,512,512,JPEG,train
IMG_JAIL_00024,jailbreak_00024.jpg,vision_detector/dataset/jailbreak/jailbreak_00024.jpg,1,JAILBREAK,system_dialog_injection,512,512,JPEG,train
IMG_SAFE_00510,safe_00510.jpg,vision_detector/dataset/safe/safe_00510.jpg,0,SAFE,benign_nature_visual,640,360,JPEG,val
IMG_SAFE_00778,safe_00778.jpg,vision_detector/dataset/safe/safe_00778.jpg,0,SAFE,benign_nature_visual,480,640,JPEG,train
IMG_JAIL_00172,jailbreak_00172.jpg,vision_detector/dataset/jailbreak/jailbreak_00172.jpg,1,JAILBREAK,system_dialog_injection,512,512,JPEG,train
IMG_SAFE_00815,safe_00815.jpg,vision_detector/dataset/safe/safe_00815.jpg,0,SAFE,benign_nature_visual,500,333,JPEG,val
IMG_SAFE_00389,safe_00389.jpg,vision_detector/dataset/safe/safe_00389.jpg,0,SAFE,benign_nature_visual,640,427,JPEG,train
IMG_JAIL_00564,jailbreak_00564.jpg,vision_detector/dataset/jailbreak/jailbreak_00564.jpg,1,JAILBREAK,system_dialog_injection,512,512,JPEG,val
IMG_SAFE_00544,safe_00544.jpg,vision_detector/dataset/safe/safe_00544.jpg,0,SAFE,benign_nature_visual,480,640,JPEG,train
